Date,Type,Surface,Loyer,Ville,Exploitation,Gestion,Etat,Cuisine,Commentaire
,,,,,,,,,
23/11/2020,T2,36,350,Châtellerault,Non-meublé,Foncia,moyen,non,
23/11/2020,T4,80,570,Châtellerault,Non-meublé,Les Sybilles,bien,oui,
22/11/2020,T2,65,370,Châtellerault,Non-meublé,melouca,moyen,non,
22/11/2020,T3,70,495,Châtellerault,Non-meublé,Louis,moyen,non,
21/11/2020,T1,55,400,Châtellerault,Meublé,Charles C,bien,oui,
21/11/2020,T1,25,270,Châtellerault,Non-meublé,ulèna,bien,non,
21/11/2020,T3,69,460,Châtellerault,Non-meublé,ulèna,bien,non,
21/11/2020,T2,41,345,Châtellerault,Non-meublé,ulèna,bien,non,
21/11/2020,T3,61,460,Châtellerault,Non-meublé,Foncia,bien,oui,
21/11/2020,T1,23,296,Châtellerault,Meublé,Foncia,bien,oui,
21/11/2020,T2,50,455,Châtellerault,Non-meublé,Vincent,bien,oui,
21/11/2020,T2,50,525,Châtellerault,Non-meublé,Vincent,bien,oui,
21/11/2020,T2,37,369,Châtellerault,Non-meublé,Square Habitat,bien,oui,
21/11/2020,T4,81,591,Châtellerault,Non-meublé,Square Habitat,bien,oui,
21/11/2020,T3,54,441,Châtellerault,Non-meublé,Square Habitat,moyen,non,
21/11/2020,T1,18,220,Mirebeau,Meublé,matot,moyen,non,
21/11/2020,T3,51,435,Châtellerault,Non-meublé,Square Habitat,moyen,non,
21/11/2020,T2,36,390,Châtellerault,Non-meublé,Square Habitat,moyen,non,
21/11/2020,T2,45,400,Châtellerault,Meublé,JM,bien,oui,
20/11/2020,T3,64,478,Châtellerault,Non-meublé,SEM Habitat,moyen,non,
20/11/2020,T3,67,565,Châtellerault,Non-meublé,SEM Habitat,moyen,non,
20/11/2020,T3,68,515,Châtellerault,Non-meublé,SEM Habitat,moyen,non,
18/11/2020,T2,45,450,Neuville,Non-meublé,ADP Immo,moyen,oui,
18/11/2020,T2,50,380,Neuville,Non-meublé,jerome sauvetre,moyen,oui,
17/11/2020,T2,44,468,Châtellerault,Non-meublé,Pro,moyen,non,
17/11/2020,T2,30,250,Lencloitre,Non-meublé,savoyantdamien,,,
17/11/2020,T2,52,377,Châtellerault,Non-meublé,Pro,moyen,non,
17/11/2020,T5,82,543,Châtellerault,Non-meublé,Pro,,,
17/11/2020,T2,30,240,Lencloitre,Non-meublé,savoyantdamien,moyen,non,
15/11/2020,T3,74,529,Châtellerault,Non-meublé,Pro,moyen,non,
15/11/2020,T3,72,620,Châtellerault,Non-meublé,cat121,Bien,oui,
15/11/2020,T2,42,370,Châtellerault,Non-meublé,Monique Girault,Moyen,non,
15/11/2020,T2,28,325,Châtellerault,Non-meublé,Monique Girault,vieux,non,
16/11/2020,T2,67,420,Châtellerault,Non-meublé,Pro,vieux,non,
17/11/2020,T2,58,434,Châtellerault,Non-meublé,olivier,Bien,oui,
15/11/2020,T3,63,500,Châtellerault,Non-meublé,Denis,Bien,oui,
15/11/2020,T3,61,566,Châtellerault,Non-meublé,Pro,Bien,non,
15/11/2020,T3,58,350,Mirebeau,Non-meublé,Pro,moyen,non,
15/11/2020,T3,50,510,Châtellerault,Non-meublé,carol,Bien,non,
15/11/2020,T2,48,410,Neuville,Non-meublé,Pro,,,
14/11/2020,T2,40,385,Châtellerault,Non-meublé,Orely,Moyen,non,
13/11/2020,T3,58,450,Châtellerault,Non-meublé,Mistral,Rénové,oui,
12/11/2020,T1,35,300,Châtellerault,Non-meublé,Pro,Moyen,non,
12/11/2020,T1,30,350,Châtellerault,Non-meublé,Arnaud,Moyen,non,
12/11/2020,T4,70,495,Châtellerault,Non-meublé,Tarriere 86,Moyen,non,
12/11/2020,T3,68,485,Châtellerault,Non-meublé,Pro,Bien,oui,
11/11/2020,T3,85,460,Lencloitre,Non-meublé,Pro,Moyen,non,
11/11/2020,T2,42,324,Lencloitre,Non-meublé,Pro,Moyen,non,
10/11/2020,T2,34,420,Châtellerault,Non-meublé,Pro,Bien,oui,
10/11/2020,T2,55,430,Châtellerault,Non-meublé,Pro,Moyen,oui,
10/11/2020,T4,79,640,Châtellerault,Non-meublé,Pro,Bien,oui,
10/11/2020,T2,34,380,Châtellerault,Non-meublé,Pro,Bien,oui,
10/11/2020,T3,54,595,Châtellerault,Non-meublé,Pro,Bien,oui,Jardin 200m2
10/11/2020,T3,50,514,Châtellerault,Non-meublé,Pro,Bien,oui,
09/11/2020,T3,56,450,Châtellerault,Non-meublé,stive,Rénové,oui,Très mansardé
09/11/2020,T3,63,515,Châtellerault,Non-meublé,aurelien,Rénové ,oui,
09/11/2020,T2,42,400,Châtellerault,Non-meublé,barbeyrol,Rénové,oui,
09/11/2020,T2,28,485,Châtellerault,Non-meublé,Mr Vincent,Rénové,oui,Terrase bois
08/11/2020,T3,63,500,Châtellerault,Non-meublé,Pro,Bien,oui,
08/11/2020,T2,34,360,Châtellerault,Non-meublé,Particulier,Bien,oui,
08/11/2020,T2,46,455,Châtellerault,Non-meublé,Particulier,Bien,non,
08/11/2020,T2,36,336,Châtellerault,Non-meublé,Pro,Moyen,non,
08/11/2020,T3,56,405,Châtellerault,Non-meublé,Pro,,,
07/11/2020,T2,37,478,Neuville,Non-meublé,momo,Rénové,oui,
07/11/2020,T3,55,600,Migné-Auxance,Non-meublé,SCI Invest,Rénové,oui,
26/10/2020,T3,70,540,Neuville,Non-meublé,Particulier,Moyen,non,
22/10/2020,T1,21,370,Avanton,Non-meublé,Particulier,Moyen,non,
21/10/2020,T4,73,517,Scorbé,Non-meublé,Particulier,Moyen,non,
21/10/2020,T2,52,435,St-Martin-laPallu,Non-meublé,Particulier,Moyen,non,
21/10/2020,T3,54,375,Mazeuil,Non-meublé,Pro,Bien,oui,
18/10/2020,T2,37,488,Neuville,Non-meublé,Particulier,Bien,oui,
18/10/2020,T2,60,540,Vouillé,Non-meublé,Pro,Bien,oui,
14/10/2020,T3,60,410,Neuville,Non-meublé,Pro,Bien,non,
13/10/2020,T2,47,441,Neuville,Non-meublé,Pro,Moyen,non,
02/10/2020,T3,44,354,Lencloitre,Non-meublé,Pro,Moyen,non,
02/10/2020,T2,34,240,Lencloitre,Non-meublé,Pro,Moyen,non,
02/10/2020,T2,31,287,Lencloitre,Non-meublé,Pro,Moyen,non,Sous comble
24/09/2020,T2,30,250,Lencloitre,Non-meublé,Pro,Moyen,non,
22/09/2020,T4,77,446,Mirebeau,Non-meublé,Pro,-,-,
18/09/2020,T3,66,442,Mirebeau,Non-meublé,Pro,-,-,
16/09/2020,T2,51,354,Neuville,Non-meublé,Pro,Moyen,non,duplex
14/09/2020,T3,67,480,Mirebeau,Non-meublé,Particulier,Rénové,oui,refait a neuf
07/09/2020,T1,16,221,Vouillé,Non-meublé,Pro,Bien,non,
04/09/2020,T1,42,292,Mirebeau,Non-meublé,Pro,-,-,
04/09/2020,T3,71,401,Mirebeau,Non-meublé,Pro,-,-,
